OMNIWeb Plus Browser Results

Listing for omni2 data from 20230101 to 20251225
Selected parameters:
 1 Scalar B, nT
 2 BZ, nT (GSM)
 3 SW Proton Density, N/cm^3
 4 SW Plasma Speed, km/s

YEAR DOY HR    1     2     3     4 
2023   1  0   5.6   0.4   2.4  603.
2023   1  1   5.0   0.5   2.6  582.
2023   1  2   5.2   1.2   2.6  581.
2023   1  3   5.0   0.6   2.4  576.
2023   1  4   4.9   1.0   2.5  585.
2023   1  5   4.8   1.7   2.5  569.
2023   1  6   4.8   0.2   2.3  548.
2023   1  7   4.8   1.0   2.2  543.
2023   1  8   4.8   0.7   2.4  553.
2023   1  9   4.9  -2.0   2.4  559.
2023   1 10   5.0   0.6   2.3  546.
2023   1 11   4.8   2.6   2.4  541.
2023   1 12   4.7  -0.2   2.4  535.
2023   1 13   4.7  -0.7   2.7  537.
2023   1 14   4.7  -1.0   2.6  539.
2023   1 15   4.7  -0.3   2.6  522.
2023   1 16   4.5  -0.2   2.7  515.
2023   1 17   3.9  -1.6   2.9  525.
2023   1 18   4.2  -2.4   3.0  523.
2023   1 19   4.8  -2.9   2.9  523.
2023   1 20   3.5  -0.7   3.5  513.
2023   1 21   4.5   1.4   2.9  487.
2023   1 22   4.4  -1.4   3.0  487.
2023   1 23   4.6  -2.3   3.0  499.
2023   2  0   4.6  -1.5   3.1  505.
2023   2  1   4.7  -0.6   3.0  503.
2023   2  2   4.6   1.5   3.0  500.
2023   2  3   4.6   2.4   2.8  486.
2023   2  4   4.8  -0.2   3.0  507.
2023   2  5   4.5   2.1   2.9  479.
2023   2  6   4.2   1.2   2.7  477.
2023   2  7   4.2   1.4   2.6  475.
2023   2  8   3.9   1.2   2.6  473.
2023   2  9   2.7  -1.3   3.1  487.
2023   2 10   2.5  -1.2   3.0  478.
2023   2 11   3.0  -0.8   3.0  455.
2023   2 12   3.4  -2.6   3.4  459.
2023   2 13   3.5  -2.6   3.8  456.
2023   2 14   3.9   0.9   3.1  455.
2023   2 15   2.8   0.3   3.3  443.
2023   2 16   2.5   0.1   4.0  423.
2023   2 17   3.4   0.1   4.1  416.
2023   2 18   3.6   0.3   4.4  416.
2023   2 19   3.5  -1.4   4.7  419.
2023   2 20   3.5  -1.9   4.4  418.
2023   2 21   3.7  -2.8   4.5  418.
2023   2 22   3.9  -3.0   4.4  415.
2023   2 23   3.7  -1.0   4.4  414.
2023   3  0   3.2   1.1   4.6  414.
2023   3  1   3.4   1.2   4.2  409.
2023   3  2   3.9   3.4   4.2  415.
2023   3  3   3.8   2.0   3.9  402.
2023   3  4   3.3  -1.1   3.8  415.
2023   3  5   3.3   0.3   3.6  414.
2023   3  6   2.7  -1.1   3.9  409.
2023   3  7   2.4  -1.7   3.8  409.
2023   3  8   2.7  -0.5   3.7  411.
2023   3  9   3.0   1.0   3.7  390.
2023   3 10   3.0  -0.0   4.0  387.
2023   3 11   2.9  -1.2   4.0  387.
2023   3 12   2.7  -0.4   3.8  378.
2023   3 13   3.3  -0.2   3.7  366.
2023   3 14   3.3   0.7   4.4  373.
2023   3 15   3.4  -2.5   4.6  385.
2023   3 16   4.8  -2.9   4.8  387.
2023   3 17   5.4  -3.5   5.4  390.
2023   3 18   6.4  -0.4   5.7  383.
2023   3 19   5.3  -0.4   7.3  393.
2023   3 20   5.8   0.5   7.6  404.
2023   3 21   5.8   1.0   8.7  409.
2023   3 22   7.4   0.0  11.8  418.
2023   3 23   9.1  -4.4  13.6  426.
2023   4  0  11.1  -1.9  14.1  429.
2023   4  1  11.8  -2.0  14.3  433.
2023   4  2  10.3  -2.2  17.3  428.
2023   4  3  12.1  -9.6   5.4  417.
2023   4  4  13.0 -10.8   3.2  410.
2023   4  5  14.2  -9.8   3.6  413.
2023   4  6  16.1 -10.9   3.3  418.
2023   4  7  17.3  -9.3   5.2  418.
2023   4  8  18.4  -5.0   7.3  418.
2023   4  9  18.7  -2.6   7.1  416.
2023   4 10  18.8   0.8   5.3  410.
2023   4 11  18.8   3.6   4.6  401.
2023   4 12  18.7   7.3   3.8  400.
2023   4 13  18.2  11.4   4.9  402.
2023   4 14  16.8  11.9  12.2  398.
2023   4 15  15.4  11.1  25.4  399.
2023   4 16  15.6  15.0  23.8  397.
2023   4 17  15.8  14.9  16.1  404.
2023   4 18  16.5  15.8  11.6  400.
2023   4 19  16.8  16.5  13.9  397.
2023   4 20  17.3  16.5  12.3  388.
2023   4 21  17.6  16.0  10.1  385.
2023   4 22  17.5  14.8  11.1  382.
2023   4 23  17.0  12.4  11.6  381.
2023   5  0  16.8  12.2  12.6  382.
2023   5  1  16.8  12.1  12.9  381.
2023   5  2  17.7  12.9  11.5  381.
2023   5  3  19.1  14.2  13.0  385.
2023   5  4  20.0  12.4  14.2  388.
2023   5  5  19.4  11.2  14.5  384.
2023   5  6  19.3  11.8  17.1  381.
2023   5  7  19.3   9.6  18.2  378.
2023   5  8  18.3   9.7  17.7  377.
2023   5  9  18.2   7.3  14.6  374.
2023   5 10  16.9   7.0  14.1  368.
2023   5 11  16.6   4.5  12.7  363.
2023   5 12  15.6  -6.9  10.3  356.
2023   5 13  14.4  -3.1  12.1  358.
2023   5 14  14.1  -8.4   7.4  353.
2023   5 15  13.0  -8.5   8.1  349.
2023   5 16  12.1  -6.4   9.1  355.
2023   5 17  11.9  -4.9   8.5  345.
2023   5 18  11.6  -5.9   7.7  351.
2023   5 19  11.1  -6.8   7.4  360.
2023   5 20  10.8  -5.8   6.9  345.
2023   5 21  11.3  -5.5   6.0  342.
2023   5 22  11.0  -3.5   5.0  344.
2023   5 23   8.9   4.1   4.4  355.
2023   6  0   8.4   4.1   4.4  352.
2023   6  1   8.2   6.4   4.1  357.
2023   6  2   8.5   6.2   4.2  340.
2023   6  3  10.0   4.9   3.9  358.
2023   6  4  10.9   4.1   3.0  358.
2023   6  5  10.8   4.8   2.5  358.
2023   6  6  10.5   5.6   3.7  364.
2023   6  7  10.9   0.4   3.8  367.
2023   6  8  11.3   4.1   3.0  366.
2023   6  9  11.5   4.4   4.4  351.
2023   6 10  11.5   3.9   3.2  362.
2023   6 11  11.2   5.6   3.5  394.
2023   6 12   9.1   6.0   3.6  393.
2023   6 13   9.4   3.3   3.1  396.
2023   6 14  10.0   7.2   2.9  397.
2023   6 15  10.2   6.9   2.6  400.
2023   6 16  10.6   6.0   1.7  406.
2023   6 17  10.8   4.9   1.8  398.
2023   6 18  10.9   4.3   1.9  408.
2023   6 19  10.5   3.2   2.1  427.
2023   6 20   9.3   1.8   2.8  442.
2023   6 21   9.0  -1.4   3.0  452.
2023   6 22   7.3  -0.6   4.1  451.
2023   6 23   8.8  -1.3   3.8  453.
2023   7  0   8.1   2.0   3.5  451.
2023   7  1   7.7  -2.4   3.2  446.
2023   7  2   7.6   1.6   3.8  447.
2023   7  3   7.4   0.4   3.9  442.
2023   7  4   6.9  -0.9   3.8  426.
2023   7  5   7.0  -0.7   4.4  445.
2023   7  6   7.1  -0.7   3.6  398.
2023   7  7   7.2   1.9   3.8  417.
2023   7  8   8.0   2.7   3.8  407.
2023   7  9   7.8   4.7   4.1  419.
2023   7 10   7.0   4.5   4.2  405.
2023   7 11   7.0   5.3   4.3  425.
2023   7 12   7.0   3.8   4.3  441.
2023   7 13   6.8   4.3   4.3  404.
2023   7 14   7.0   4.9   4.2  408.
2023   7 15   7.0   0.2   4.7  412.
2023   7 16   6.8  -0.7   4.2  391.
2023   7 17   6.9   1.8   4.5  407.
2023   7 18   6.8   3.2   4.6  413.
2023   7 19   6.7   2.6   4.7  416.
2023   7 20   7.1   1.1   4.6  398.
2023   7 21   6.6   5.1   5.1  420.
2023   7 22   6.2   1.5   4.9  405.
2023   7 23   6.2   3.2   5.1  405.
2023   8  0   6.0  -2.4   5.2  409.
2023   8  1   5.8  -2.5   5.0  398.
2023   8  2   5.8  -1.3   4.9  380.
2023   8  3   6.7  -4.9 999.9 9999.
2023   8  4   6.3  -0.7 999.9 9999.
2023   8  5   6.4   0.3 999.9 9999.
2023   8  6   6.4   3.7 999.9 9999.
2023   8  7   6.9   1.6 999.9 9999.
2023   8  8   7.2   5.2 999.9 9999.
2023   8  9   5.0  -3.4 999.9 9999.
2023   8 10   5.9  -3.7 999.9 9999.
2023   8 11   5.7  -3.5 999.9 9999.
2023   8 12   6.0  -1.9 999.9 9999.
2023   8 13   6.0  -3.5 999.9 9999.
2023   8 14   5.8  -1.3 999.9 9999.
2023   8 15   5.8  -1.2   5.0  392.
2023   8 16   5.7   1.0   5.1  394.
2023   8 17   5.8   1.1   5.0  400.
2023   8 18   5.8   1.8 999.9 9999.
2023   8 19   5.6   1.6 999.9 9999.
2023   8 20   5.5   0.8 999.9 9999.
2023   8 21   5.3   2.0 999.9 9999.
2023   8 22   4.9   1.1 999.9 9999.
2023   8 23   5.0  -1.8 999.9 9999.
2023   9  0   4.8  -0.5 999.9 9999.
2023   9  1   4.3  -1.0 999.9 9999.
2023   9  2   4.7  -0.1 999.9 9999.
2023   9  3   4.7   2.6 999.9 9999.
2023   9  4   4.7   3.9 999.9 9999.
2023   9  5   4.7   3.5 999.9 9999.
2023   9  6   4.7   1.9 999.9 9999.
2023   9  7   4.7  -0.3 999.9 9999.
2023   9  8   4.9   0.6 999.9 9999.
2023   9  9   5.2  -1.1 999.9 9999.
2023   9 10   6.0   2.6 999.9 9999.
2023   9 11   6.1   0.9 999.9 9999.
2023   9 12   6.2  -0.5   4.8  347.
2023   9 13   5.9  -2.7   4.8  345.
2023   9 14   5.2  -1.6   5.9  351.
2023   9 15   5.3  -2.4   5.9  347.
2023   9 16   5.6  -3.6   5.5  346.
2023   9 17   5.8  -3.1   6.0  350.
2023   9 18   5.8  -3.1   5.9  346.
2023   9 19   6.0   0.2   5.5  328.
2023   9 20   6.1  -1.5   6.2  335.
2023   9 21   6.1  -1.0   7.2  335.
2023   9 22   6.7   0.2   6.9  332.
2023   9 23   6.3   0.8   8.8  329.
2023  10  0   5.5  -1.5   9.8  331.
2023  10  1   6.6   0.8   9.4  341.
2023  10  2   7.0  -1.1   9.8  341.
2023  10  3   7.5   4.6  10.1  359.
2023  10  4   7.4   1.3   9.4  353.
2023  10  5   7.1   2.6   9.8  355.
2023  10  6   8.2   2.7   9.1  367.
2023  10  7   8.5   2.7   9.1  363.
2023  10  8   8.4   2.2   9.7  367.
2023  10  9   8.1   3.5  10.3  373.
2023  10 10   8.7   2.9  10.6  366.
2023  10 11   7.6   2.5  10.2  361.
2023  10 12   7.6   2.7   9.9  359.
2023  10 13   7.4  -2.5   9.8  357.
2023  10 14   6.9  -5.1  10.2  371.
2023  10 15   7.0  -0.5  10.0  365.
2023  10 16   7.6  -1.1   9.9  373.
2023  10 17   8.1  -0.5   9.6  388.
2023  10 18   6.6   0.5  10.6  379.
2023  10 19   7.4   3.1   9.8  365.
2023  10 20   8.7  -0.6   8.5  366.
2023  10 21   8.6  -1.4   8.9  369.
2023  10 22   7.8  -3.1   8.6  372.
2023  10 23   8.2  -2.0   8.6  375.
2023  11  0   7.5  -3.4   8.9  389.
2023  11  1   8.4   0.1   8.0  375.
2023  11  2   8.0   2.4   7.5  370.
2023  11  3   7.4  -0.1   8.8  379.
2023  11  4   7.2  -4.2   9.0  396.
2023  11  5   7.8   0.9   8.7  387.
2023  11  6   7.7   0.1   8.2  375.
2023  11  7   8.5   0.2   8.4  377.
2023  11  8   8.7   1.4   8.5  386.
2023  11  9   7.7  -0.6   8.3  387.
2023  11 10   8.0  -4.1   8.5  397.
2023  11 11   8.3  -2.1   8.1  389.
2023  11 12   8.8   1.4   7.9  390.
2023  11 13   8.6   2.4   8.3  392.
2023  11 14   8.0   2.2   7.0  372.
2023  11 15   7.7  -0.2   7.2  383.
2023  11 16   7.9  -2.4   7.6  391.
2023  11 17   8.6  -2.3   7.3  395.
2023  11 18   8.5  -2.0   7.0  387.
2023  11 19   7.8  -1.4   7.5  392.
2023  11 20   7.3   1.0   7.8  390.
2023  11 21   7.3   0.0   7.6  394.
2023  11 22   7.7  -4.3   7.9  400.
2023  11 23   7.6   0.9   7.9  410.
2023  12  0   7.9   0.9   7.8  404.
2023  12  1   8.1   5.5   8.3  413.
2023  12  2   8.1   2.9   8.5  410.
2023  12  3   8.0  -0.3   8.2  406.
2023  12  4   7.8   3.0   8.2  414.
2023  12  5   8.4   0.0   7.9  398.
2023  12  6   8.1  -2.9   7.4  394.
2023  12  7   8.4  -3.0   7.7  408.
2023  12  8   8.0   1.1   7.8  415.
2023  12  9   7.8  -1.5   7.3  414.
2023  12 10   8.1   0.7   7.7  418.
2023  12 11   7.9   2.7   8.3  410.
2023  12 12   8.4   4.3   9.4  415.
2023  12 13   8.0   3.1  10.0  426.
2023  12 14   8.2   3.1  10.0  419.
2023  12 15   8.0   2.3   9.0  413.
2023  12 16   8.0  -1.0   8.5  408.
2023  12 17   8.0  -0.1   7.8  396.
2023  12 18   7.5  -0.6   8.4  404.
2023  12 19   7.1  -3.0   7.8  391.
2023  12 20   6.9  -1.2   7.5  389.
2023  12 21   6.8  -3.8   6.9  384.
2023  12 22   6.5  -3.8   7.3  384.
2023  12 23   6.8  -3.1   8.4  391.
2023  13  0   6.7  -0.9   9.0  394.
2023  13  1   6.6   3.1   8.6  391.
2023  13  2   6.5  -0.5   7.6  373.
2023  13  3   7.1   1.1   7.4  370.
2023  13  4   8.0  -3.0   5.9  372.
