datetime,V,Np,Bz,Bt,kp
2018-01-01 00:00:00+00:00,393.0,16.099999999999998,-3.8000000000000003,9.666666666666666,3.333
2018-01-01 03:00:00+00:00,417.6666666666667,17.166666666666668,-0.8666666666666667,10.066666666666668,3.667
2018-01-01 06:00:00+00:00,437.0,8.700000000000001,-0.4666666666666666,6.8999999999999995,2.333
2018-01-01 09:00:00+00:00,433.0,7.033333333333334,-0.8333333333333334,6.966666666666666,2.333
2018-01-01 12:00:00+00:00,443.3333333333333,5.266666666666667,-1.5333333333333332,6.566666666666666,2.667
2018-01-01 15:00:00+00:00,470.3333333333333,3.4333333333333336,0.20000000000000004,5.066666666666666,1.0
2018-01-01 18:00:00+00:00,459.3333333333333,3.9,-0.033333333333333326,4.833333333333333,1.0
2018-01-01 21:00:00+00:00,436.3333333333333,4.333333333333333,-1.0666666666666667,5.0,1.333
2018-01-02 00:00:00+00:00,422.0,6.3,-0.26666666666666666,4.233333333333333,1.667
2018-01-02 03:00:00+00:00,412.3333333333333,7.3999999999999995,0.6666666666666666,3.033333333333333,0.667
2018-01-02 06:00:00+00:00,412.3333333333333,5.666666666666667,0.0666666666666667,3.1999999999999997,0.333
2018-01-02 09:00:00+00:00,418.0,6.533333333333334,0.7000000000000001,4.033333333333334,0.667
2018-01-02 12:00:00+00:00,422.3333333333333,7.0,0.0,4.8,1.667
2018-01-02 15:00:00+00:00,412.6666666666667,7.8,-0.43333333333333335,4.2,1.0
2018-01-02 18:00:00+00:00,412.6666666666667,7.033333333333334,-1.2,4.3999999999999995,2.0
2018-01-02 21:00:00+00:00,400.6666666666667,8.266666666666667,0.7000000000000001,3.233333333333333,1.0
2018-01-03 00:00:00+00:00,390.6666666666667,9.6,0.9333333333333332,3.8333333333333335,0.0
2018-01-03 03:00:00+00:00,375.0,13.266666666666666,-0.03333333333333333,3.1999999999999997,0.667
2018-01-03 06:00:00+00:00,362.0,11.6,-0.5666666666666667,3.3666666666666667,1.0
2018-01-03 09:00:00+00:00,364.0,8.0,1.5,5.066666666666666,0.667
2018-01-03 12:00:00+00:00,367.3333333333333,11.266666666666666,-0.03333333333333329,3.8666666666666667,0.333
2018-01-03 15:00:00+00:00,363.0,11.766666666666666,1.0333333333333334,3.9666666666666663,1.0
2018-01-03 18:00:00+00:00,356.6666666666667,6.866666666666667,2.1666666666666665,4.266666666666667,0.333
2018-01-03 21:00:00+00:00,364.3333333333333,5.566666666666666,0.6333333333333333,4.333333333333333,0.0
2018-01-04 00:00:00+00:00,367.0,6.333333333333333,1.5333333333333332,4.566666666666666,0.667
2018-01-04 03:00:00+00:00,368.3333333333333,7.833333333333333,-1.1333333333333333,3.966666666666667,0.0
2018-01-04 06:00:00+00:00,375.3333333333333,6.3,0.2333333333333333,3.3000000000000003,1.0
2018-01-04 09:00:00+00:00,369.3333333333333,4.7,-0.6666666666666666,3.6666666666666665,0.0
2018-01-04 12:00:00+00:00,370.0,4.6000000000000005,0.39999999999999997,2.966666666666667,0.667
2018-01-04 15:00:00+00:00,383.6666666666667,4.366666666666666,-0.7000000000000001,3.1999999999999997,0.333
2018-01-04 18:00:00+00:00,384.0,4.6000000000000005,-0.8666666666666667,3.3666666666666667,1.333
2018-01-04 21:00:00+00:00,381.3333333333333,5.6000000000000005,0.06666666666666665,2.6999999999999997,1.0
2018-01-05 00:00:00+00:00,373.6666666666667,5.233333333333333,-0.6333333333333334,3.9333333333333336,0.667
2018-01-05 03:00:00+00:00,370.0,5.133333333333333,0.7333333333333334,3.8333333333333335,1.667
2018-01-05 06:00:00+00:00,364.0,5.1000000000000005,-0.8666666666666667,3.4333333333333336,1.333
2018-01-05 09:00:00+00:00,360.6666666666667,8.566666666666666,-1.8,2.733333333333333,0.667
2018-01-05 12:00:00+00:00,356.6666666666667,10.299999999999999,-0.7666666666666666,1.8333333333333333,0.667
2018-01-05 15:00:00+00:00,346.6666666666667,12.933333333333332,-0.4666666666666666,1.5666666666666667,1.333
2018-01-05 18:00:00+00:00,337.6666666666667,13.066666666666668,-1.9000000000000001,2.6333333333333333,1.0
2018-01-05 21:00:00+00:00,333.0,15.9,-1.2333333333333332,2.3,2.0
2018-01-06 00:00:00+00:00,322.0,14.200000000000001,0.6666666666666666,1.5,1.333
2018-01-06 03:00:00+00:00,309.6666666666667,7.3,-0.6333333333333333,3.466666666666667,0.0
2018-01-06 06:00:00+00:00,314.0,8.966666666666667,-1.7,4.133333333333334,0.667
2018-01-06 09:00:00+00:00,303.3333333333333,8.466666666666667,-0.5666666666666665,4.166666666666667,0.0
2018-01-06 12:00:00+00:00,303.3333333333333,9.266666666666667,-0.7999999999999999,3.5,0.333
2018-01-06 15:00:00+00:00,298.0,9.200000000000001,0.0,3.233333333333333,0.0
2018-01-06 18:00:00+00:00,296.3333333333333,9.866666666666667,-1.0666666666666667,3.3333333333333335,0.333
2018-01-06 21:00:00+00:00,294.0,10.933333333333332,-1.1333333333333335,3.1666666666666665,0.333
2018-01-07 00:00:00+00:00,291.3333333333333,11.4,-0.16666666666666666,3.466666666666667,1.0
2018-01-07 03:00:00+00:00,288.6666666666667,11.533333333333333,0.9666666666666667,3.6333333333333333,0.0
2018-01-07 06:00:00+00:00,286.6666666666667,12.6,1.1666666666666667,3.1999999999999997,0.0
2018-01-07 09:00:00+00:00,285.3333333333333,10.6,0.033333333333333326,3.1666666666666665,0.0
2018-01-07 12:00:00+00:00,286.3333333333333,11.266666666666666,0.9666666666666667,3.533333333333333,0.333
