OMNIWeb Plus Browser Results

Listing for omni2 data from 20180101 to 20251225
Selected parameters:
 1 Scalar B, nT
 2 BZ, nT (GSM)
 3 SW Proton Density, N/cm^3
 4 SW Plasma Speed, km/s

YEAR DOY HR    1     2     3     4 
2018   1  0   8.2  -5.0  13.8  381.
2018   1  1  10.8  -6.1  16.8  406.
2018   1  2  10.0  -0.3  17.7  392.
2018   1  3  10.9  -2.5  22.4  396.
2018   1  4  11.0   2.4  19.0  416.
2018   1  5   8.3  -2.5  10.1  441.
2018   1  6   6.1   0.4   9.3  429.
2018   1  7   6.8  -1.4   9.0  436.
2018   1  8   7.8  -0.4   7.8  446.
2018   1  9   7.7  -0.3   7.6  437.
2018   1 10   7.0  -0.5   7.2  433.
2018   1 11   6.2  -1.7   6.3  429.
2018   1 12   6.8  -2.1   6.1  438.
2018   1 13   6.6  -2.4   5.8  439.
2018   1 14   6.3  -0.1   3.9  453.
2018   1 15   5.5   0.4   3.4  467.
2018   1 16   4.9   0.5   3.3  472.
2018   1 17   4.8  -0.3   3.6  472.
2018   1 18   4.8  -0.1   3.8  464.
2018   1 19   4.9  -0.3   3.9  460.
2018   1 20   4.8   0.3   4.0  454.
2018   1 21   5.2  -1.8   4.0  446.
2018   1 22   5.1  -0.5   4.4  434.
2018   1 23   4.7  -0.9   4.6  429.
2018   2  0   4.4  -0.2   5.0  431.
2018   2  1   4.5   0.0   6.2  420.
2018   2  2   3.8  -0.6   7.7  415.
2018   2  3   3.9   2.3   8.2  413.
2018   2  4   3.2   0.5   7.5  410.
2018   2  5   2.0  -0.8   6.5  414.
2018   2  6   3.1  -1.2   5.5  416.
2018   2  7   3.1   0.8   5.4  412.
2018   2  8   3.4   0.6   6.1  409.
2018   2  9   3.9   0.7   6.6  407.
2018   2 10   4.0   0.6   6.5  417.
2018   2 11   4.2   0.8   6.5  430.
2018   2 12   5.4   1.6   6.1  436.
2018   2 13   4.4  -1.1   7.4  418.
2018   2 14   4.6  -0.5   7.5  413.
2018   2 15   4.0  -1.0   7.5  414.
2018   2 16   4.1  -0.1   8.1  414.
2018   2 17   4.5  -0.2   7.8  410.
2018   2 18   4.8  -0.8   6.3  416.
2018   2 19   4.6  -1.4   7.1  411.
2018   2 20   3.8  -1.4   7.7  411.
2018   2 21   3.4  -0.6   8.6  406.
2018   2 22   3.5   1.6   7.8  398.
2018   2 23   2.8   1.1   8.4  398.
2018   3  0   3.6   0.7   8.5  392.
